k,explained_variance_ratio,cumulative_explained_variance
548,4.551409e-05,0.99274
549,4.524875e-05,0.9927852
550,4.5091605e-05,0.99283034
551,4.4915694e-05,0.9928753
552,4.4501056e-05,0.9929198
553,4.4320634e-05,0.99296415
554,4.3915552e-05,0.9930081
555,4.3720032e-05,0.9930518
556,4.3273067e-05,0.9930951
557,4.268345e-05,0.9931378
558,4.219258e-05,0.99318
559,4.2125048e-05,0.9932221
560,4.168682e-05,0.9932638
561,4.1475207e-05,0.99330527
562,4.128551e-05,0.9933466
563,4.1109124e-05,0.9933877
564,4.0755604e-05,0.99342847
565,4.0522456e-05,0.993469
566,4.032363e-05,0.99350935
567,4.0221035e-05,0.9935496
568,4.000264e-05,0.9935896
569,3.9553084e-05,0.99362916
570,3.9301354e-05,0.99366844
571,3.914932e-05,0.9937076
572,3.897646e-05,0.9937466
573,3.8624104e-05,0.9937852
574,3.857303e-05,0.99382377
575,3.8213686e-05,0.993862
576,3.7942915e-05,0.99389994
577,3.749802e-05,0.99393743
578,3.7422233e-05,0.99397486
579,3.722078e-05,0.99401206
580,3.6938494e-05,0.994049
581,3.6670288e-05,0.99408567
582,3.6502122e-05,0.99412215
583,3.6293488e-05,0.99415845
584,3.6041027e-05,0.9941945
585,3.581741e-05,0.99423033
586,3.5556423e-05,0.9942659
587,3.529525e-05,0.9943012
588,3.5233432e-05,0.9943364
589,3.478132e-05,0.99437124
590,3.467938e-05,0.9944059
591,3.4339326e-05,0.99444026
592,3.4300643e-05,0.99447453
593,3.4198936e-05,0.99450874
594,3.3770237e-05,0.99454254
595,3.3626267e-05,0.99457616
596,3.358572e-05,0.9946097
597,3.314742e-05,0.99464285
598,3.286417e-05,0.9946757
599,3.2788656e-05,0.9947085
600,3.2573404e-05,0.994741
601,3.226767e-05,0.99477327
602,3.2192977e-05,0.99480546
603,3.201642e-05,0.99483746
604,3.1773736e-05,0.99486923
605,3.170047e-05,0.99490094
606,3.138066e-05,0.9949323
607,3.1148382e-05,0.99496347
608,3.096947e-05,0.99499446
609,3.0889474e-05,0.99502534
610,3.06811e-05,0.99505603
611,3.052037e-05,0.99508655
612,3.0271787e-05,0.99511683
613,3.020017e-05,0.99514705
614,2.9975301e-05,0.99517703
615,2.9871828e-05,0.9952069
616,2.9582452e-05,0.99523646
617,2.937674e-05,0.99526584
618,2.9133667e-05,0.995295
619,2.8957438e-05,0.99532396
620,2.8880797e-05,0.99535286
621,2.8626073e-05,0.9953815
622,2.8496992e-05,0.99540997
623,2.8337012e-05,0.9954383
624,2.8252623e-05,0.99546653
625,2.7969036e-05,0.9954945
626,2.7699423e-05,0.9955222
627,2.7640386e-05,0.99554986
628,2.7469832e-05,0.99557734
629,2.731768e-05,0.99560463
630,2.7136144e-05,0.99563175
631,2.702172e-05,0.99565876
632,2.6894331e-05,0.99568564
633,2.655318e-05,0.99571216
634,2.6477433e-05,0.9957386
635,2.6352976e-05,0.995765
636,2.6323281e-05,0.9957913
637,2.60108e-05,0.9958173
638,2.5886176e-05,0.9958432
639,2.5759362e-05,0.9958689
640,2.5674432e-05,0.9958946
641,2.5458368e-05,0.99592006
642,2.5345169e-05,0.9959454
643,2.507839e-05,0.9959705
644,2.498244e-05,0.99599546
645,2.483119e-05,0.9960203
646,2.4790967e-05,0.9960451
647,2.4608831e-05,0.9960697
648,2.4545425e-05,0.9960943
649,2.4373643e-05,0.99611866
650,2.422683e-05,0.99614286
651,2.412356e-05,0.996167
652,2.392284e-05,0.9961909
653,2.384208e-05,0.99621475
654,2.3818493e-05,0.9962386
655,2.3712048e-05,0.9962623
656,2.3494962e-05,0.9962858
657,2.3233808e-05,0.99630904
658,2.317286e-05,0.9963322
659,2.306687e-05,0.9963553
660,2.2859564e-05,0.9963782
661,2.2698658e-05,0.9964009
662,2.2536993e-05,0.9964234
663,2.2492237e-05,0.9964459
664,2.2404787e-05,0.9964683
665,2.224163e-05,0.99649054
666,2.2142804e-05,0.99651265
667,2.2112688e-05,0.99653476
668,2.190733e-05,0.9965567
669,2.1708775e-05,0.9965784
670,2.1670428e-05,0.9966001
671,2.1567743e-05,0.99662167
672,2.1483645e-05,0.9966431
673,2.1368953e-05,0.9966645
674,2.1176433e-05,0.9966857
675,2.1080214e-05,0.9967068
676,2.0957925e-05,0.99672776
677,2.087157e-05,0.9967486
678,2.0773028e-05,0.9967694
679,2.0652158e-05,0.99679005
680,2.0510128e-05,0.99681056
681,2.0431868e-05,0.996831
682,2.0368807e-05,0.9968514
683,2.0252024e-05,0.99687165
684,2.0114949e-05,0.99689174
685,1.9994053e-05,0.9969117
686,1.983753e-05,0.99693155
687,1.9712414e-05,0.9969513
688,1.966836e-05,0.99697095
689,1.9500421e-05,0.99699044
690,1.9397492e-05,0.9970098
691,1.9344248e-05,0.9970292
692,1.928121e-05,0.99704844
693,1.9072693e-05,0.9970675
694,1.9049377e-05,0.9970866
695,1.892589e-05,0.99710554
696,1.8717448e-05,0.99712425
697,1.8656609e-05,0.9971429
698,1.8610148e-05,0.9971615
699,1.8424527e-05,0.9971799
700,1.8358429e-05,0.9971983
701,1.8287881e-05,0.9972166
702,1.8165832e-05,0.99723476
703,1.8083389e-05,0.9972528
704,1.7920544e-05,0.99727076
705,1.7796592e-05,0.9972886
706,1.768442e-05,0.9973063
707,1.758112e-05,0.9973239
708,1.7561211e-05,0.99734145
709,1.7521046e-05,0.997359
710,1.735666e-05,0.9973763
711,1.7308204e-05,0.9973936
712,1.7160666e-05,0.9974108
713,1.7113596e-05,0.9974279
714,1.7086362e-05,0.997445
715,1.7021612e-05,0.99746203
716,1.6982372e-05,0.997479
717,1.689825e-05,0.99749595
718,1.6758786e-05,0.9975127
719,1.6674376e-05,0.9975294
720,1.6618034e-05,0.997546
721,1.6514216e-05,0.9975625
722,1.6321623e-05,0.99757886
723,1.6197428e-05,0.9975951
724,1.6157352e-05,0.9976112
725,1.600307e-05,0.9976272
726,1.5979793e-05,0.9976432
727,1.5915568e-05,0.9976591
728,1.5829704e-05,0.99767494
729,1.5748783e-05,0.9976907
730,1.5635367e-05,0.9977063
731,1.5514683e-05,0.9977218
732,1.5420528e-05,0.9977372
733,1.5388376e-05,0.9977526
734,1.5305086e-05,0.9977679
735,1.5285876e-05,0.9977832
736,1.5219755e-05,0.9977984
737,1.5161134e-05,0.9978135
738,1.5053896e-05,0.9978286
739,1.49974085e-05,0.9978436
740,1.4920787e-05,0.9978585
741,1.4822333e-05,0.99787337
742,1.4781622e-05,0.99788815
743,1.4679455e-05,0.9979028
744,1.45860995e-05,0.9979174
745,1.4531348e-05,0.99793196
746,1.44877395e-05,0.99794644
747,1.4353576e-05,0.9979608
748,1.4250169e-05,0.99797505
749,1.4211051e-05,0.99798924
750,1.4184909e-05,0.9980034
751,1.4145134e-05,0.99801755
752,1.405199e-05,0.9980316
753,1.3956198e-05,0.99804556
754,1.3898625e-05,0.99805945
755,1.3859798e-05,0.99807334
756,1.3793425e-05,0.9980871
757,1.36391345e-05,0.99810076
758,1.3571453e-05,0.99811435
759,1.3491912e-05,0.9981278
760,1.341761e-05,0.9981412
761,1.3346048e-05,0.9981546
762,1.3255303e-05,0.9981678
763,1.3250588e-05,0.99818105
764,1.31606785e-05,0.9981942
765,1.3119533e-05,0.99820733
766,1.3022367e-05,0.9982203
767,1.2983509e-05,0.9982333
768,1.2957208e-05,0.99824625
769,1.2879649e-05,0.9982591
770,1.2831669e-05,0.99827194
771,1.27579215e-05,0.9982847
772,1.2690432e-05,0.9982974
773,1.2609498e-05,0.99831
774,1.2499798e-05,0.99832255
775,1.24537e-05,0.998335
776,1.2355045e-05,0.99834734
777,1.23067e-05,0.9983596
778,1.2255948e-05,0.9983719
779,1.2216371e-05,0.9983841
780,1.2111994e-05,0.9983962
781,1.205936e-05,0.99840826
782,1.2023626e-05,0.9984203
783,1.1972761e-05,0.9984323
784,1.1931433e-05,0.9984442
785,1.181388e-05,0.998456
786,1.1778914e-05,0.9984678
787,1.1738788e-05,0.99847955
788,1.16627425e-05,0.9984912
789,1.1542382e-05,0.9985028
790,1.1506012e-05,0.9985143
791,1.1458359e-05,0.99852574
792,1.1348579e-05,0.99853706
793,1.1329065e-05,0.9985484
794,1.1214758e-05,0.9985596
795,1.1193891e-05,0.9985708
796,1.1125082e-05,0.99858195
797,1.1061397e-05,0.99859303
798,1.1030138e-05,0.99860406
799,1.09807925e-05,0.998615
800,1.0937046e-05,0.99862593
801,1.0900778e-05,0.99863684
802,1.086003e-05,0.9986477
803,1.0784514e-05,0.9986585
804,1.0682527e-05,0.99866915
805,1.0619666e-05,0.99867976
806,1.0571925e-05,0.9986903
807,1.0518261e-05,0.9987008
808,1.047419e-05,0.9987113
809,1.0457539e-05,0.9987217
810,1.0417579e-05,0.99873215
811,1.0287695e-05,0.99874246
812,1.0277124e-05,0.9987527
813,1.024457e-05,0.99876297
814,1.01828755e-05,0.99877316
815,1.0132402e-05,0.9987833
816,1.0051406e-05,0.99879336
817,1.001139e-05,0.9988034
818,9.966194e-06,0.99881333
819,9.898995e-06,0.9988232
820,9.858305e-06,0.99883306
821,9.782478e-06,0.99884284
822,9.727791e-06,0.99885255
823,9.6535105e-06,0.9988622
824,9.5868445e-06,0.9988718
825,9.5403175e-06,0.99888134
826,9.491547e-06,0.9988908
827,9.456161e-06,0.9989003
828,9.427614e-06,0.9989097
829,9.409101e-06,0.9989191
830,9.351975e-06,0.9989285
831,9.299475e-06,0.9989378
832,9.195238e-06,0.99894696
833,9.189983e-06,0.99895614
834,9.165101e-06,0.9989653
835,9.137497e-06,0.99897444
836,9.047707e-06,0.9989835
837,9.026965e-06,0.9989925
838,8.953401e-06,0.99900144
839,8.9152045e-06,0.9990104
840,8.878526e-06,0.99901927
841,8.840417e-06,0.9990281
842,8.811783e-06,0.9990369
843,8.759251e-06,0.99904567
844,8.725868e-06,0.9990544
845,8.676894e-06,0.9990631
846,8.616987e-06,0.9990717
847,8.58114e-06,0.9990803
848,8.543006e-06,0.9990888
849,8.471919e-06,0.9990973
850,8.4309495e-06,0.9991057
851,8.377596e-06,0.9991141
852,8.352958e-06,0.99912244
853,8.345723e-06,0.9991308
854,8.2644365e-06,0.9991391
855,8.232091e-06,0.9991473
856,8.1820735e-06,0.99915546
857,8.151985e-06,0.9991636
858,8.082162e-06,0.99917173
859,8.065942e-06,0.9991798
860,7.978747e-06,0.99918777
861,7.946366e-06,0.9991957
862,7.896001e-06,0.99920356
863,7.868489e-06,0.99921143
864,7.832396e-06,0.99921924
865,7.822212e-06,0.99922705
866,7.782973e-06,0.99923486
867,7.7469085e-06,0.9992426
868,7.699899e-06,0.9992503
869,7.637415e-06,0.9992579
870,7.607576e-06,0.99926555
871,7.5847374e-06,0.9992731
872,7.5071916e-06,0.99928063
873,7.4488366e-06,0.9992881
874,7.390217e-06,0.9992955
875,7.380954e-06,0.99930286
876,7.3092287e-06,0.9993102
877,7.255658e-06,0.99931747
878,7.247835e-06,0.99932474
879,7.193804e-06,0.99933195
880,7.1907803e-06,0.99933916
881,7.1376007e-06,0.9993463
882,7.1061604e-06,0.9993534
883,7.087885e-06,0.9993605
884,7.0471638e-06,0.99936754
885,7.0063493e-06,0.99937457
886,6.983501e-06,0.99938154
887,6.9540397e-06,0.9993885
