k,explained_variance_ratio,cumulative_explained_variance
445,0.00010290577,0.9859097
446,0.000101884834,0.98601156
447,0.000100910045,0.9861125
448,9.977244e-05,0.98621225
449,9.9008495e-05,0.98631126
450,9.810101e-05,0.98640937
451,9.626586e-05,0.9865056
452,9.575388e-05,0.98660135
453,9.522286e-05,0.9866966
454,9.4763134e-05,0.9867914
455,9.3649054e-05,0.986885
456,9.2659706e-05,0.9869777
457,9.259196e-05,0.98707026
458,9.108008e-05,0.98716134
459,9.051224e-05,0.9872519
460,8.979747e-05,0.9873417
461,8.939936e-05,0.9874311
462,8.888171e-05,0.98752
463,8.7261404e-05,0.98760724
464,8.622535e-05,0.9876935
465,8.585228e-05,0.9877793
466,8.509346e-05,0.98786443
467,8.4694264e-05,0.98794913
468,8.370349e-05,0.9880328
469,8.3278144e-05,0.9881161
470,8.258047e-05,0.98819864
471,8.1506405e-05,0.9882801
472,8.066058e-05,0.98836076
473,8.051122e-05,0.9884413
474,7.996218e-05,0.9885213
475,7.919447e-05,0.9886005
476,7.849558e-05,0.988679
477,7.8167024e-05,0.98875713
478,7.7124925e-05,0.98883426
479,7.66715e-05,0.9889109
480,7.5701384e-05,0.9889866
481,7.526585e-05,0.9890619
482,7.479311e-05,0.9891367
483,7.362911e-05,0.9892103
484,7.306028e-05,0.9892834
485,7.266618e-05,0.98935604
486,7.231385e-05,0.98942834
487,7.096059e-05,0.98949933
488,7.0515605e-05,0.98956984
489,6.951986e-05,0.98963934
490,6.936361e-05,0.9897087
491,6.869197e-05,0.9897774
492,6.780008e-05,0.98984516
493,6.749969e-05,0.9899126
494,6.6986526e-05,0.9899796
495,6.6458895e-05,0.9900461
496,6.560438e-05,0.9901117
497,6.5297674e-05,0.99017704
498,6.491843e-05,0.99024194
499,6.478288e-05,0.99030674
500,6.430442e-05,0.99037105
501,6.3665604e-05,0.9904347
502,6.3115396e-05,0.9904978
503,6.237674e-05,0.99056023
504,6.232322e-05,0.9906226
505,6.162436e-05,0.9906842
506,6.1011997e-05,0.99074525
507,6.0362796e-05,0.9908056
508,5.975729e-05,0.9908654
509,5.9505735e-05,0.9909249
510,5.949937e-05,0.9909844
511,5.8922204e-05,0.9910433
512,5.8405072e-05,0.99110174
513,5.8041198e-05,0.9911598
514,5.7436595e-05,0.99121726
515,5.6927565e-05,0.9912742
516,5.679316e-05,0.991331
517,5.6389657e-05,0.99138737
518,5.599913e-05,0.9914434
519,5.5534125e-05,0.99149895
520,5.542396e-05,0.9915544
521,5.4936714e-05,0.99160933
522,5.410314e-05,0.99166346
523,5.3696178e-05,0.99171716
524,5.3438747e-05,0.9917706
525,5.3064075e-05,0.9918237
526,5.2113184e-05,0.99187577
527,5.198339e-05,0.99192774
528,5.1801144e-05,0.99197954
529,5.1481682e-05,0.99203104
530,5.0909952e-05,0.99208194
531,5.049773e-05,0.9921324
532,5.035e-05,0.9921828
533,5.0013616e-05,0.9922328
534,4.9616865e-05,0.9922824
535,4.946896e-05,0.99233186
536,4.9030972e-05,0.9923809
537,4.8350503e-05,0.99242926
538,4.826028e-05,0.99247754
539,4.8040136e-05,0.9925256
540,4.753024e-05,0.9925731
541,4.6774843e-05,0.9926199
542,4.623533e-05,0.9926661
543,4.605692e-05,0.9927122
544,4.589665e-05,0.9927581
545,4.557183e-05,0.9928037
546,4.5378736e-05,0.99284905
547,4.5184413e-05,0.99289423
548,4.479708e-05,0.99293905
549,4.4310018e-05,0.99298334
550,4.424443e-05,0.99302757
551,4.3996268e-05,0.99307156
552,4.36695e-05,0.99311525
553,4.323576e-05,0.99315846
554,4.2902808e-05,0.9932014
555,4.2600783e-05,0.993244
556,4.2047286e-05,0.993286
557,4.2018208e-05,0.99332803
558,4.1762076e-05,0.9933698
559,4.158743e-05,0.9934114
560,4.1377596e-05,0.9934528
561,4.117563e-05,0.993494
562,4.0830113e-05,0.9935348
563,4.0418698e-05,0.9935752
564,4.021115e-05,0.99361545
565,3.9896644e-05,0.9936553
566,3.9686052e-05,0.993695
567,3.9510847e-05,0.99373454
568,3.919483e-05,0.99377376
569,3.8719398e-05,0.9938125
570,3.860207e-05,0.9938511
571,3.810878e-05,0.9938892
572,3.783599e-05,0.99392706
573,3.762941e-05,0.9939647
574,3.7530885e-05,0.9940022
575,3.72342e-05,0.9940395
576,3.6947742e-05,0.99407643
577,3.6718575e-05,0.99411315
578,3.6427307e-05,0.99414957
579,3.62702e-05,0.99418586
580,3.6180343e-05,0.99422204
581,3.5702742e-05,0.99425775
582,3.5620513e-05,0.9942934
583,3.5545538e-05,0.9943289
584,3.4921384e-05,0.99436384
585,3.485827e-05,0.9943987
586,3.468275e-05,0.9944334
587,3.452763e-05,0.9944679
588,3.4390057e-05,0.9945023
589,3.4195746e-05,0.9945365
590,3.3848155e-05,0.9945704
591,3.373843e-05,0.9946041
592,3.3630226e-05,0.9946377
593,3.3318698e-05,0.99467105
594,3.306315e-05,0.9947041
595,3.2900512e-05,0.994737
596,3.2717264e-05,0.99476975
597,3.2376614e-05,0.9948021
598,3.2343152e-05,0.9948345
599,3.212018e-05,0.9948666
600,3.1795364e-05,0.9948984
601,3.1719886e-05,0.9949301
602,3.1386855e-05,0.9949615
603,3.12014e-05,0.9949927
604,3.0928364e-05,0.9950236
605,3.080303e-05,0.9950544
606,3.0585998e-05,0.995085
607,3.0298572e-05,0.9951153
608,3.0225947e-05,0.9951455
609,3.0084564e-05,0.9951756
610,2.9835504e-05,0.99520546
611,2.9582785e-05,0.995235
612,2.9413097e-05,0.9952644
613,2.9225637e-05,0.9952936
614,2.908239e-05,0.9953227
615,2.9034201e-05,0.99535173
616,2.8688095e-05,0.9953804
617,2.8508912e-05,0.9954089
618,2.8410956e-05,0.9954373
619,2.8358518e-05,0.9954657
620,2.7952658e-05,0.99549365
621,2.7779786e-05,0.9955214
622,2.7556074e-05,0.99554896
623,2.7533855e-05,0.9955765
624,2.7361722e-05,0.99560386
625,2.7219878e-05,0.9956311
626,2.6950918e-05,0.99565804
627,2.6830163e-05,0.99568486
628,2.6641104e-05,0.9957115
629,2.6526332e-05,0.995738
630,2.6458576e-05,0.9957645
631,2.6350363e-05,0.99579084
632,2.5899333e-05,0.99581677
633,2.5834574e-05,0.9958426
634,2.5686515e-05,0.99586827
635,2.560536e-05,0.9958939
636,2.5371259e-05,0.9959193
637,2.5321593e-05,0.9959446
638,2.505554e-05,0.99596965
639,2.5015417e-05,0.9959947
640,2.480243e-05,0.9960195
641,2.4741508e-05,0.9960442
642,2.4658659e-05,0.9960689
643,2.4567546e-05,0.99609345
644,2.4488858e-05,0.99611795
645,2.4255758e-05,0.9961422
646,2.4089017e-05,0.9961663
647,2.3917033e-05,0.9961902
648,2.3721244e-05,0.9962139
649,2.3651433e-05,0.9962376
650,2.3401803e-05,0.996261
651,2.3336666e-05,0.99628437
652,2.323295e-05,0.9963076
653,2.3084776e-05,0.9963307
654,2.3036457e-05,0.9963537
655,2.2813878e-05,0.9963765
656,2.2704791e-05,0.9963992
657,2.2552937e-05,0.99642175
658,2.2500015e-05,0.9964442
659,2.2316084e-05,0.9964665
660,2.2159573e-05,0.9964887
661,2.2068194e-05,0.99651074
662,2.1945316e-05,0.9965327
663,2.175413e-05,0.99655443
664,2.1628888e-05,0.9965761
665,2.1478318e-05,0.9965975
666,2.1388621e-05,0.9966189
667,2.1310994e-05,0.99664026
668,2.1206395e-05,0.9966615
669,2.1138387e-05,0.99668264
670,2.0994963e-05,0.9967036
671,2.0943251e-05,0.99672455
672,2.0765478e-05,0.9967453
673,2.0667743e-05,0.996766
674,2.0532088e-05,0.9967865
675,2.0491612e-05,0.996807
676,2.0396623e-05,0.99682736
677,2.0226758e-05,0.99684757
678,2.0157591e-05,0.9968677
679,2.0039373e-05,0.99688774
680,1.9921077e-05,0.99690765
681,1.9887746e-05,0.99692756
682,1.9698562e-05,0.9969472
683,1.9518662e-05,0.9969667
684,1.9440497e-05,0.99698615
685,1.9231806e-05,0.9970054
686,1.9193969e-05,0.9970246
687,1.9141076e-05,0.9970437
688,1.9044033e-05,0.9970628
689,1.9024097e-05,0.9970818
690,1.895258e-05,0.9971008
691,1.8848516e-05,0.9971196
692,1.8714905e-05,0.9971383
693,1.8576655e-05,0.9971569
694,1.8400833e-05,0.99717534
695,1.8292863e-05,0.99719363
696,1.8202167e-05,0.9972118
697,1.8065894e-05,0.9972299
698,1.8042401e-05,0.99724793
699,1.7935894e-05,0.9972659
700,1.7842369e-05,0.9972837
701,1.7827717e-05,0.9973015
702,1.773342e-05,0.9973193
703,1.7572422e-05,0.99733686
704,1.7549015e-05,0.9973544
705,1.7374115e-05,0.99737173
706,1.7291075e-05,0.997389
707,1.716589e-05,0.9974062
708,1.713014e-05,0.9974233
709,1.7058803e-05,0.99744034
710,1.6967027e-05,0.9974573
711,1.6771291e-05,0.9974741
712,1.6752256e-05,0.9974908
713,1.66455e-05,0.99750745
714,1.6530774e-05,0.99752396
715,1.643188e-05,0.9975404
716,1.6362785e-05,0.9975568
717,1.630548e-05,0.99757314
718,1.6253669e-05,0.9975894
719,1.6211754e-05,0.9976056
720,1.6086771e-05,0.9976217
721,1.6018366e-05,0.99763775
722,1.5924566e-05,0.99765366
723,1.590667e-05,0.9976696
724,1.5769256e-05,0.9976854
725,1.5696263e-05,0.99770105
726,1.5650621e-05,0.9977167
727,1.550423e-05,0.9977322
728,1.5432344e-05,0.99774766
729,1.5336642e-05,0.997763
730,1.5289408e-05,0.9977783
731,1.5221754e-05,0.9977935
732,1.5168963e-05,0.99780864
733,1.50885935e-05,0.9978237
734,1.497852e-05,0.9978387
735,1.482698e-05,0.9978535
736,1.47608125e-05,0.9978683
737,1.4689003e-05,0.99788296
738,1.4595851e-05,0.99789757
739,1.4532161e-05,0.9979121
740,1.4427931e-05,0.99792653
741,1.4332793e-05,0.99794084
742,1.42506115e-05,0.9979551
743,1.4189499e-05,0.99796927
744,1.4072181e-05,0.99798334
745,1.4019928e-05,0.99799734
746,1.3973143e-05,0.9980113
747,1.3929466e-05,0.99802524
748,1.3837712e-05,0.99803907
749,1.3820451e-05,0.9980529
750,1.3761508e-05,0.99806666
751,1.3638766e-05,0.9980803
752,1.3593871e-05,0.9980939
753,1.3525339e-05,0.99810743
754,1.3446636e-05,0.9981209
755,1.3350167e-05,0.99813426
756,1.32406585e-05,0.9981475
757,1.318206e-05,0.99816066
758,1.3083711e-05,0.9981738
759,1.3000297e-05,0.99818677
760,1.2981075e-05,0.99819976
761,1.2834957e-05,0.9982126
762,1.2824771e-05,0.9982254
763,1.2747571e-05,0.99823815
764,1.2679592e-05,0.99825084
765,1.26391205e-05,0.9982635
766,1.2584251e-05,0.99827605
767,1.2486308e-05,0.9982885
768,1.2461262e-05,0.99830097
769,1.2431031e-05,0.9983134
770,1.2384424e-05,0.9983258
771,1.2259554e-05,0.9983381
772,1.21981875e-05,0.9983503
773,1.2137567e-05,0.9983625
774,1.2108759e-05,0.9983746
775,1.19902925e-05,0.99838656
776,1.1938114e-05,0.9983985
777,1.1869546e-05,0.99841034
778,1.1819995e-05,0.99842215
779,1.17877635e-05,0.99843395
780,1.1665215e-05,0.99844563
781,1.164956e-05,0.99845725
782,1.16361825e-05,0.9984689
783,1.15350485e-05,0.99848044
784,1.1508634e-05,0.99849194
785,1.14564245e-05,0.9985034
786,1.134102e-05,0.9985147
787,1.1307897e-05,0.99852604
788,1.1258264e-05,0.9985373
789,1.1227303e-05,0.9985485
790,1.1182235e-05,0.9985597
791,1.1095712e-05,0.9985708
792,1.1070494e-05,0.9985819
793,1.1019493e-05,0.9985929
794,1.0985842e-05,0.9986039
